,budget,genres,id,keywords,original_language,release_date,revenue,runtime,title,Male_lead,Female_lead,Director,screenplay,writer,Music_director
758,80000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",12201,murder.violence.death of daughter.homicide detective,en,2010-01-29,74901339,117.0,Edge of Darkness,Mel Gibson,Caterina Scorsone,Martin Campbell,William Monahan,,
759,60000000,"['Horror', 'Mystery', 'Thriller']",11015,chicago.based on novel.monster.museum.pile of dead bodies.god.dead body.anthropologist.indian tribe.amazon jungle,en,1997-01-10,33956608,110.0,The Relic,Tom Sizemore,Penelope Ann Miller,Peter Hyams,Amy Holden Jones,,John Debney
760,60000000,"['Comedy', 'Crime']",9932,prison.gold.therapist.gangster,en,2002-12-06,55003135,96.0,Analyze That,Robert De Niro,Lisa Kudrow,Harold Ramis,Harold Ramis,,
761,60000000,"['Action', 'Crime', 'Drama', 'Thriller']",13389,revenge.murder.plot twist.dirty cop,en,2008-09-11,73174566,101.0,Righteous Kill,Robert De Niro,Carla Gugino,Jon Avnet,,Russell Gewirtz,
762,60000000,"['Action', 'Crime', 'Drama', 'Thriller']",8838,assassin.loss of family.autism.fbi.bangkok.national security agency (nsa).boy.child in peril.fbi agent.autistic savant,en,1998-04-03,0,111.0,Mercury Rising,Bruce Willis,Kim Dickens,Harold Becker,Lawrence Konner,,John Barry
763,60000000,['Drama'],17332,newspaper.cello.musical.violin.los angeles,en,2009-04-24,31720158,109.0,The Soloist,Robert Downey Jr.,Catherine Keener,Joe Wright,Susannah Grant,,Dario Marianelli
764,80000000,"['Fantasy', 'Drama']",4958,competition.world war i.great depression.caddy.savannah,en,2000-11-02,39459427,126.0,The Legend of Bagger Vance,Matt Damon,Charlize Theron,Robert Redford,Jeremy Leven,,Rachel Portman
765,60000000,"['Drama', 'Music']",786,hotel room.san diego.drug addiction.stewardess.overdose.groupie.music journalist.black sabbath.rock.concert.swimming pool.based on true story.promiscuity.coming of age.on the road.domineering mother.reconciliation.semi autobiographical.innocence lost.bus trip.aspiring writer,en,2000-09-15,47383689,122.0,Almost Famous,Billy Crudup,Kate Hudson,Cameron Crowe,Cameron Crowe,,Nancy Wilson
766,0,"['Animation', 'Comedy', 'Family']",9513,london england.cat.mistake in person.luxury.wretch.nobility.garfield,en,2006-06-15,141702264,78.0,Garfield: A Tail of Two Kitties,Bill Murray,Jennifer Love Hewitt,Tim Hill,Joel Cohen,,Christophe Beck
767,60000000,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",11679,washington d.c..helicopter.usa president.general.coup d'etat.military prison.coup.agent.insurgent.secretary of defense.potus,en,2005-04-27,71073932,101.0,xXx: State of the Union,Ice Cube,Sunny Mabrey,Lee Tamahori,Simon Kinberg,,Marco Beltrami
768,60000000,"['Action', 'Science Fiction', 'Fantasy', 'Thriller', 'Horror']",38321,vampire.crucifixion.post-apocalyptic.dystopia.vampire hunter.disobey.niece.dark hero,en,2011-05-05,78309131,87.0,Priest,Paul Bettany,Maggie Q,Scott Stewart,,Min-Woo Hyung,Christopher Young
769,60000000,"['Family', 'Animation', 'Adventure']",14411,prince.water monster,en,2003-07-02,26288320,86.0,Sinbad: Legend of the Seven Seas,Brad Pitt,Catherine Zeta-Jones,Tim Johnson,,John Logan,Harry Gregson-Williams
770,60000000,"['Horror', 'Science Fiction', 'Mystery']",8413,space marine.nudity.nightmare.hallucination.cryogenics.space travel.black hole.insanity.delusion.crew.alternate dimension.evil spirit.hellgate.religion.explosion.violence.burning man.rescue team.flashback.supernatural power.trapped in space.distress signal.derelict ship,en,1997-08-15,26673242,96.0,Event Horizon,Laurence Fishburne,Kathleen Quinlan,Paul W.S. Anderson,,Philip Eisner,Michael Kamen
771,60000000,['Drama'],10052,pregnancy and birth.voice.dragonfly.car crash.jungle.hospital.doctor.humanitarian.spiritism,en,2002-02-22,52322400,104.0,Dragonfly,Kevin Costner,Susanna Thompson,Tom Shadyac,,,John Debney
772,50000000,['Drama'],9676,pornography.observer.los angeles.murder hunt,en,2006-09-15,49111202,121.0,The Black Dahlia,Josh Hartnett,Scarlett Johansson,Brian De Palma,Josh Friedman,,Mark Isham
773,60000000,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",9664,world war i.biplane,en,2006-09-22,17800000,140.0,Flyboys,James Franco,Ruth Bradley,Tony Bill,David S. Ward,,Trevor Rabin
774,72000000,"['Action', 'Drama', 'Thriller']",2100,prison.general,en,2001-10-19,27642707,131.0,The Last Castle,Robert Redford,,Rod Lurie,Graham Yost,,Jerry Goldsmith
775,90000000,"['Horror', 'Science Fiction', 'Thriller']",10384,black people.starships.future.star.supernova.blast,en,2000-01-14,14828081,91.0,Supernova,James Spader,Angela Bassett,Walter Hill,Daniel Chuba,,
776,60000000,"['Drama', 'Fantasy', 'Mystery', 'Romance']",137321,based on novel,en,2014-02-13,30800231,118.0,Winter's Tale,Colin Farrell,Jessica Brown Findlay,Akiva Goldsman,Akiva Goldsman,,Hans Zimmer
777,60000000,"['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Fantasy']",123553,angel.vampire.werewolf.warlock.downworlder.shadowhunter.demon hunter.based on young adult novel,en,2013-08-21,90565421,130.0,The Mortal Instruments: City of Bones,Jamie Campbell Bower,Lily Collins,Harald Zwart,I. Marlene King,Cassandra Clare,
778,60000000,"['Comedy', 'Science Fiction', 'Adventure', 'Family']",11260,new york.captain.starships.new love.earth.friendship.crew.car crash.space.alien.survival.planet.duringcreditsstinger,en,2008-07-08,50650079,90.0,Meet Dave,Eddie Murphy,Elizabeth Banks,Brian Robbins,Robbie Greenberg,,John Debney
779,30000000,"['Drama', 'Horror', 'Thriller']",9009,"based on novel.water.remake.teacher.divorce.apartment.ghost.manhattan, new york city",en,2005-06-27,25473093,105.0,Dark Water,John C. Reilly,Jennifer Connelly,Walter Salles,Rafael Yglesias,,Angelo Badalamenti
780,80000000,['Comedy'],11374,tv show.tv station.simulated reality .reality tv.tv star.tv ratings,en,1999-03-26,0,122.0,Edtv,Matthew McConaughey,Sally Kirkland,Ron Howard,Émile Gaudreault,,Randy Edelman
781,60000000,"['Adventure', 'Family', 'Fantasy']",2309,book.fairy tale.eavesdropping.adventure.writer's block,en,2008-12-11,57490374,106.0,Inkheart,Brendan Fraser,Sienna Guillory,Iain Softley,David Lindsay-Abaire,,
782,60000000,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']",8285,secret identity.robber.mask.frog.based on comic strip.back from the dead,en,2008-12-25,39031337,103.0,The Spirit,Gabriel Macht,Scarlett Johansson,Frank Miller,Frank Miller,,David Newman
783,60000000,"['Comedy', 'Adventure']",210860,based on novel.painting.debt.art dealer.stolen painting,en,2015-01-21,30418560,106.0,Mortdecai,Johnny Depp,Gwyneth Paltrow,David Koepp,,Eric Aronson,
784,60000000,"['Adventure', 'Fantasy', 'Action', 'Drama']",2312,fictional place.monster.loss of family.new love.hero.love of one's life.magic.fairy tale.villain.kingdom.enchantment.bad power.son.heir to the throne.motherly love.wizardry.revenge.royalty.family.based on video game.medieval,en,2007-11-29,0,127.0,In the Name of the King: A Dungeon Siege Tale,Jason Statham,Leelee Sobieski,Uwe Boll,Jason Rappaport,,
785,35000000,"['Drama', 'Romance', 'Adventure', 'War']",9839,london england.cia.landmine.love of one's life.cambodia.ethiopia.chechnya.foreign aid,en,2003-10-23,0,127.0,Beyond Borders,Clive Owen,Angelina Jolie,Martin Campbell,,,James Horner
786,68490000,"['Action', 'Adventure', 'Fantasy']",381902,monkey king,zh,2016-01-22,193677158,120.0,The Monkey King 2,Aaron Kwok,Gong Li,Soi Cheang,,Wu Cheng'en,
787,80000000,"['Action', 'History', 'War']",13922,based on novel.world war ii.prisoners of war.narration.archive footage.rescue mission.soldier.1940s.inspired by true events.fictionalized history,en,2005-08-12,10166502,132.0,The Great Raid,Benjamin Bratt,Connie Nielsen,John Dahl,Doug Miro,,
788,58000000,"['Action', 'Adventure', 'Comedy']",293660,anti hero.mercenary.marvel comic.superhero.based on comic book.breaking the fourth wall.aftercreditsstinger.duringcreditsstinger.self healing,en,2016-02-09,783112979,108.0,Deadpool,Ryan Reynolds,Morena Baccarin,Tim Miller,Rhett Reese,,
789,60000000,"['Drama', 'Comedy']",9713,salesclerk.television.tv ratings.guru.television producer,en,1998-10-08,0,114.0,Holy Man,Eddie Murphy,Kelly Preston,Stephen Herek,Tom Schulman,,Alan Silvestri
790,58800000,"['War', 'Action']",190859,sniper.biography.iraq.navy seal.u.s. soldier,en,2014-12-11,542307423,133.0,American Sniper,Bradley Cooper,Sienna Miller,Clint Eastwood,,Jason Hall,
791,58000000,"['Adventure', 'Horror', 'Comedy']",257445,based on novel.magic.fantasy.werewolf.family.ventriloquist dummy.book comes to life.3d,en,2015-08-05,158162788,103.0,Goosebumps,Jack Black,Odeya Rush,Rob Letterman,Darren Lemke ,,Danny Elfman
792,58000000,"['Comedy', 'Fantasy', 'Romance']",9007,coma.based on novel.workaholic.flirt.architect.romantic comedy.ghost.landscape architect,en,2005-09-16,102854431,95.0,Just Like Heaven,Mark Ruffalo,Reese Witherspoon,Mark Waters,Leslie Dixon,,Rolfe Kent
793,83000000,"['Science Fiction', 'Comedy', 'Family', 'Romance']",889,waitress.marriage proposal.flirt.stone age.best friend.dinosaur,en,2000-04-28,59468275,90.0,The Flintstones in Viva Rock Vegas,Mark Addy,Kristen Johnston,Brian Levant,Jim Cash,,David Newman
794,63000000,"['Action', 'Adventure', 'Thriller', 'War']",1370,competition.submachine gun.soviet union.liberation.russian.soviet troops.thailand.freedom fighter.afghanistan.war on freedom.machinegun.mujahid.reality show.western.japanese food.soap opera,en,1988-05-24,189015611,102.0,Rambo III,Sylvester Stallone,,Peter MacDonald,Sylvester Stallone,,Jerry Goldsmith
795,58000000,"['Comedy', 'Romance', 'Drama']",4942,american football.sports team.stadium.hero.success.sponsorship.police.games.coach.woman reporter.the big game,en,2008-03-24,41299492,114.0,Leatherheads,George Clooney,Renée Zellweger,George Clooney,Duncan Brantley,,Randy Newman
796,60000000,"['Comedy', 'Western']",347969,wild west,en,2015-12-11,0,119.0,The Ridiculous 6,Adam Sandler,Whitney Cummings,Frank Coraci,,Adam Sandler,Rupert Gregson-Williams
797,58000000,['Comedy'],24438,witness protection.comedy.duringcreditsstinger,en,2009-12-17,85280250,103.0,Did You Hear About the Morgans?,Hugh Grant,Sarah Jessica Parker,Marc Lawrence,,Marc Lawrence,Theodore Shapiro
798,58000000,['Comedy'],116741,job interview.loss of job.intern.reference to google.new job.laid off.transamerica pyramid,en,2013-06-07,44000000,119.0,The Internship,Owen Wilson,Rose Byrne,Shawn Levy,Vince Vaughn,,Christophe Beck
799,60000000,"['Action', 'Adventure', 'Horror', 'Science Fiction']",35791,post-apocalyptic.dystopia.undead.biohazard.evil corporation.resident evil.zombie.based on video game.duringcreditsstinger.3d,en,2010-09-09,300228084,97.0,Resident Evil: Afterlife,Wentworth Miller,Milla Jovovich,Paul W.S. Anderson,Paul W.S. Anderson,,tomandandy
800,58000000,"['Drama', 'Action', 'Adventure', 'History', 'War']",72431,world war ii.fighter pilot.fighter plane,en,2012-01-19,50365377,125.0,Red Tails,Bryan Cranston,Daniela Ruah,Anthony Hemingway,John Ridley,,
801,57000000,"['Drama', 'Horror', 'Mystery', 'Thriller']",1813,"child abuse.southern usa.obsession.subway.nudity.bible.seduction.hallucination.ambition.devil's son.marriage crisis.pact with the devil.crooked lawyer.evil spirit.satan.religion.lust.courtroom.temptation.law firm.manhattan, new york city.seven deadly sins.ethics.gainesville florida",en,1997-10-17,152944660,144.0,The Devil's Advocate,Keanu Reeves,Charlize Theron,Taylor Hackford,Jonathan Lemkin,,James Newton Howard
802,70000000,['Comedy'],87428,deadbeat dad.cheating fiancée.teacher student sex.brother sister incest,en,2012-06-14,58058367,116.0,That's My Boy,Adam Sandler,Susan Sarandon,Sean Anders,,David Caspe,Rupert Gregson-Williams
803,57000000,['Fantasy'],8840,magic.kingdom.despot.immortality.village.forest.army.horror.partner.revenge.knight.battle.medieval.dragonheart,en,1996-05-31,115267375,103.0,DragonHeart,Dennis Quaid,Dina Meyer,Rob Cohen,Charles Edward Pogue,,Randy Edelman
804,60000000,"['Action', 'Comedy', 'Crime', 'Drama']",10589,bahamas.master thief.crook couple,en,2004-11-12,61347797,97.0,After the Sunset,Pierce Brosnan,Salma Hayek,Brett Ratner,Craig Rosenberg,,Lalo Schifrin
805,57000000,"['Action', 'Fantasy', 'Thriller']",71676,monk.eastern europe.skeleton.biker.marvel comic.superhero.motorcycle.devil.dark hero.ghost rider,en,2011-12-10,149217355,95.0,Ghost Rider: Spirit of Vengeance,Nicolas Cage,Violante Placido,Brian Taylor,David S. Goyer,Roy Thomas,David Sardy
806,57000000,"['Drama', 'History', 'Romance']",1722,officer.greek island.mandolin.italian soldier.resistance fighter.greek history.italian army.allied forces,en,2001-08-17,62112895,131.0,Captain Corelli's Mandolin,Nicolas Cage,Penélope Cruz,John Madden,Shawn Slovo,,Stephen Warbeck
807,56000000,"['Action', 'Comedy', 'Drama', 'Family', 'Thriller']",10022,bodybuilder.children.body guard.scientist.family.u.s. soldier.death of husband.male nanny,en,2005-03-04,113006880,95.0,The Pacifier,Vin Diesel,Lauren Graham,Adam Shankman,Thomas Lennon,,
808,56000000,"['Adventure', 'Drama', 'Action', 'Thriller']",11358,casino.sheriff.home.violence.special forces.ex soldier,en,2004-04-02,57223890,86.0,Walking Tall,Dwayne Johnson,Kristen Wilson,Kevin Bray,Brian Koppelman,,Graeme Revell
809,55000000,"['Comedy', 'Drama', 'Romance']",13,vietnam veteran.hippie.mentally disabled.running.based on novel.vietnam.vietnam war.friendship.love.family relationships.bully.mother son relationship.military.hugging.shrimping.wounded soldier.flashback.park bench.amputee,en,1994-07-06,677945399,142.0,Forrest Gump,Tom Hanks,Robin Wright,Robert Zemeckis,Eric Roth,,Alan Silvestri
810,60000000,"['Comedy', 'Music', 'Family', 'Fantasy', 'Animation']",6477,pop.pop star.record producer.surprise.approach.forest.music.concert.friendship.performance.chipmunk.talking animal.songwriter.talking to animals.duringcreditsstinger,en,2007-12-13,361366633,92.0,Alvin and the Chipmunks,Jason Lee,Cameron Richardson,Tim Hill,Jon Vitti,,Christopher Lennertz
811,55000000,"['Comedy', 'Romance']",1597,cia.airport.cat.jew.orderly.airplane.father-in-law.epistaxis.daughter.lost baggage.urn.pavilion.volleyball.hospital.wedding,en,2000-10-06,330444045,108.0,Meet the Parents,Ben Stiller,Teri Polo,Jay Roach,Jim Herzfeld,,Randy Newman
812,55000000,"['Adventure', 'Animation', 'Drama', 'Family']",10530,culture clash.settler.forbidden love.colony.musical.gold rush.princess.romance.native american.animation.virginia.star crossed lovers.reference to pizarro.jamestown virginia.pug dog.cross cultural relationship.musket.animate tree.indian chief.based on folk tale.17th century.shamanism.songs.indians vs. settlers.animal sidekick.powhatan.land claim,en,1995-06-14,346079773,81.0,Pocahontas,Mel Gibson,Irene Bedard,Mike Gabriel,Susannah Grant,,Alan Menken
813,55000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1924,saving the world.journalist.dc comics.crime fighter.nuclear missile.galaxy.superhero.based on comic book.criminal.sabotage.north pole.midwest.kryptonite.super powers.superhuman strength.aftercreditsstinger.save the day,en,1978-12-13,300218018,143.0,Superman,Christopher Reeve,Margot Kidder,Richard Donner,Mario Puzo,Tom Mankiewicz,John Williams
814,54000000,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",9327,overweight.overweight man.duringcreditsstinger,en,1996-06-26,128769345,95.0,The Nutty Professor,Eddie Murphy,Jada Pinkett Smith,Tom Shadyac,Steve Oedekerk,,
815,70000000,"['Comedy', 'Drama', 'Romance']",8488,speed date.romantic comedy.dating,en,2005-02-10,368100420,118.0,Hitch,Will Smith,Eva Mendes,Andy Tennant,Kevin Bisch,,George Fenton
816,55000000,"['Adventure', 'Comedy', 'Family', 'Romance']",10603,africa.san francisco.gorilla.lion.feral child.jungle,en,1997-07-15,0,92.0,George of the Jungle,Brendan Fraser,Leslie Mann,Sam Weisman,Dana Olsen,,Marc Shaiman
817,55000000,"['Comedy', 'Romance']",8273,handcuffs.sister sister relationship.spanner.blow job.stag night.wedding,en,2003-08-01,231449203,103.0,American Wedding,Jason Biggs,Alyson Hannigan,Jesse Dylan,Adam Herz,,Christophe Beck
818,55000000,"['Action', 'Drama', 'Thriller']",109424,ship.hijacking.somalia.fisherman.blood.poverty.pirate.terrorism.commando.hijack.cargo ship.ship captain.ship hijacking.somali.commando unit,en,2013-10-10,95000000,134.0,Captain Phillips,Tom Hanks,Catherine Keener,Paul Greengrass,Billy Ray,,Henry Jackman
819,55000000,['Comedy'],35056,date.corruption.taxi.expensive restaurant.wife husband relationship.gun.boat.taxi driver.document.restaurant.roof.married couple.politician.stripper.shooting.thief.car crash.stealing.mistaken identity.police corruption.aftercreditsstinger.duringcreditsstinger,en,2010-04-08,152263880,97.0,Date Night,Steve Carell,Tina Fey,Shawn Levy,,Josh Klausner,Christophe Beck
820,50000000,"['Fantasy', 'Comedy', 'Family']",8839,halloween.friendship.supernatural.afterlife.friends.danger.ghost.disorder.young heroes.imaginary.supernatural ability.mischievous children,en,1995-05-26,287928194,100.0,Casper,Bill Pullman,Christina Ricci,Brad Silberling,,,James Horner
821,55000000,"['Thriller', 'Action', 'Crime']",156022,corruption.assassin.hostage.fbi.hitman.russian.security camera.sadism.vigilante.sociopath.revenge.suspense.organized crime.gore.gangster.violence.teenage prostitute.commando.interrogation.surveillance.ex soldier.faked death.loner.call girl.black ops.hand to hand combat.mysterious past,en,2014-09-24,192330738,132.0,The Equalizer,Denzel Washington,Chloë Grace Moretz,Antoine Fuqua,,Richard Wenk,Harry Gregson-Williams
822,55000000,"['Comedy', 'Drama', 'Romance']",7303,hotel.politician.mistaken identity.maid.class differences.single mother.public relations.maid uniform.hotel clerk.wealth differences,en,2002-12-13,154906693,105.0,Maid in Manhattan,Ralph Fiennes,Jennifer Lopez,Wayne Wang,Kevin Wade,,Alan Silvestri
823,53000000,"['Action', 'Thriller', 'Drama']",8963,submarine.mutiny.russia.missile.nuclear missile.embassy.u.s. navy.battle for power.torpedo.military.moral dilemma.post cold war.aircraft carrier.chain of command.launch code.sonar,en,1995-05-12,157387195,116.0,Crimson Tide,Denzel Washington,,Tony Scott,Michael Schiffer,,Hans Zimmer
824,55000000,['Drama'],1402,san francisco.single parent.homeless person.bus.worker.homelessness.work.church service.bad luck.biography.salesman.stockbroker,en,2006-12-14,307077295,117.0,The Pursuit of Happyness,Will Smith,Thandie Newton,Gabriele Muccino,Steve Conrad,,Andrea Guerra
825,55000000,"['Thriller', 'Drama', 'Mystery']",9315,berlin.loss of father.airplane.baby-snatching,en,2005-09-22,223387299,98.0,Flightplan,Peter Sarsgaard,Jodie Foster,Robert Schwentke,Billy Ray,,James Horner
826,55000000,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",8984,employee.workplace.sexual harassment.intrigue,en,1994-12-09,214015089,123.0,Disclosure,Michael Douglas,Demi Moore,Barry Levinson,Paul Attanasio,,
827,55000000,"['Drama', 'Fantasy', 'Romance']",795,suicide.angel.life and death.desperation.operation.heaven.faith.afterlife.los angeles.interspecies romance,en,1998-04-10,198685114,114.0,City of Angels,Nicolas Cage,Meg Ryan,Brad Silberling,Wim Wenders,,Gabriel Yared
828,30000000,"['Action', 'Crime']",24,japan.coma.martial arts.kung fu.underworld.yakuza.sword.bride.revenge.gore.female yakuza.blood.wedding.samurai sword.part animation,en,2003-10-10,180949000,111.0,Kill Bill: Vol. 1,David Carradine,Uma Thurman,Quentin Tarantino,,Quentin Tarantino,RZA
829,55000000,['Comedy'],11353,film producer.film director.movie studio.hollywood.filmmaking.movie actress,en,1999-08-12,0,97.0,Bowfinger,Steve Martin,Heather Graham,Frank Oz,Steve Martin,,David Newman
830,30000000,"['Action', 'Crime', 'Thriller']",393,brother brother relationship.swordplay.katana.mother role.rage and hate.daughter.right and justice.single.aftercreditsstinger.duringcreditsstinger,en,2004-04-16,152159461,136.0,Kill Bill: Vol. 2,David Carradine,Uma Thurman,Quentin Tarantino,Quentin Tarantino,,Robert Rodriguez
831,55000000,"['Action', 'Adventure', 'Comedy']",9618,prisoner.war on drugs.los angeles,en,1989-12-22,63408614,104.0,Tango & Cash,Sylvester Stallone,Teri Hatcher,Andrei Konchalovsky,Randy Feldman,,Harold Faltermeyer
832,55000000,"['Fantasy', 'Comedy']",9374,jealousy.beauty.immortality.rivalry.potion.drinking,en,1992-07-30,149022650,104.0,Death Becomes Her,Bruce Willis,Meryl Streep,Robert Zemeckis,,Martin Donovan,Alan Silvestri
833,55000000,"['Adventure', 'Action', 'Comedy', 'Western']",8584,princess.sioux.travel.rescue.native american.chinese.cowboy.duringcreditsstinger.19th century,en,2000-05-26,56932305,110.0,Shanghai Noon,Jackie Chan,Lucy Liu,Tom Dey,Miles Millar,,Randy Edelman
834,55000000,"['Action', 'Adventure', 'Drama', 'Thriller']",2320,bomb.ransom.hostage.airplane.hijacking.terror cell.special unit.deception.rescue.covert operation.disaster.shootout.terrorism.explosion.violence.surveillance.night vision goggles.flight attendant.intelligence agent.flashback.hand to hand combat.nerve gas,en,1996-03-15,121969216,133.0,Executive Decision,Kurt Russell,Halle Berry,Stuart Baird,,Jim Thomas,Jerry Goldsmith
835,55000000,"['Comedy', 'Family']",58224,taxi.restaurant.zoo.penguin.ex husband.little boy.zookeeper.doorman.ride.bird hatching.aftercreditsstinger.duringcreditsstinger,en,2011-06-17,187361754,94.0,Mr. Popper's Penguins,Jim Carrey,Carla Gugino,Mark Waters,Sean Anders,,
836,55000000,"['Action', 'Adventure', 'Fantasy']",1729,tempel.shaolin.teenager.urination.staff.warrior.monkey king,en,2008-04-18,127906624,104.0,The Forbidden Kingdom,Jackie Chan,Liu Yifei,Rob Minkoff,,John Fusco,David Buckley
837,55000000,"['Animation', 'Comedy', 'Family']",175574,holiday.thanksgiving.freedom.duringcreditsstinger.3d,en,2013-10-30,110000000,91.0,Free Birds,Owen Wilson,Amy Poehler,Jimmy Hayward,John J. Strauss,David I. Stern,
838,50000000,"['Science Fiction', 'Action', 'Horror']",8077,prison.android.spacecraft.space marine.imprisonment.space colony.space travel.rottweiler.dystopia.sequel.alien.redemption.outer space.planet.shaved head.crash landing.impregnation.penal colony.furnace.suspended animation.xenomorph,en,1992-05-22,159773545,114.0,Alien³,Charles S. Dutton,Sigourney Weaver,David Fincher,Larry Ferguson,,Elliot Goldenthal
839,55000000,"['History', 'Drama', 'Music']",8818,prostitute.deification.dancehall hostess.perónism.argentine president.rise to power.singing narrator.soccer ball,en,1996-12-14,141047179,134.0,Evita,Antonio Banderas,Madonna,Alan Parker,Alan Parker,,
840,55000000,"['Action', 'Thriller', 'Crime', 'Adventure']",8195,paris.france.arms deal.audi.impostor.case.violence.ice skating.computer expert.ex kgb.preparation.hit with a car door.cellular phone trace.merry go round,en,1998-09-25,41610884,122.0,Ronin,Robert De Niro,Natascha McElhone,John Frankenheimer,David Mamet,,Elia Cmiral
841,50000000,['Adventure'],10586,africa.lion.bridge.based on true story.kenya.animal attack.lion attack.colonialism.swahili,en,1996-10-11,75000000,109.0,The Ghost and the Darkness,Michael Douglas,Emily Mortimer,Stephen Hopkins,William Goldman,,Jerry Goldsmith
842,55000000,"['Family', 'Comedy']",116149,england.train station.based on novel.bear.anthropomorphism.talking to animals.children's book,en,2014-11-27,259207227,95.0,Paddington,Peter Capaldi,Nicole Kidman,Paul King,Paul King,,
843,68000000,['Comedy'],80035,usa.sterility.castration.marriage.friendship.alien.suburb.alien invasion.death.teenage daughter.neighborhood watch.creepy neighbor,en,2012-07-26,68267862,98.0,The Watch,Ben Stiller,Rosemarie DeWitt,Akiva Schaffer,Seth Rogen,,Christophe Beck
844,55000000,"['Drama', 'Action', 'Thriller', 'Crime']",10632,hunter.fbi.knife.balkan war.woods.psychopathic killer.slaughter.survivalist.maniac.special forces.killing spree.combat.ex soldier.dark past.manhunt.gory violence,en,2003-03-11,34234008,94.0,The Hunted,Tommy Lee Jones,Connie Nielsen,William Friedkin,Art Monterastelli,,Brian Tyler
845,80000000,"['Drama', 'Mystery', 'Thriller']",12117,prison.gorilla.research.instinct.murder.psychologist,en,1999-06-04,0,126.0,Instinct,Anthony Hopkins,Maura Tierney,Jon Turteltaub,Gerald Di Pego,,
846,55000000,['Comedy'],1792,sex.dancer.martial arts.cook.stripper.love.bully.hollywood.twins.flashback.freak.actor.anxiety.conjoined.siamese,en,2003-12-10,33828318,118.0,Stuck on You,Matt Damon,Eva Mendes,Bobby Farrelly,Bobby Farrelly,,Michael Andrews
847,0,['Comedy'],13260,sport.basketball.flint michigan.nba.merger.trade.garbage can.canon.ramp.championship.dead parent,en,2008-02-28,33472850,91.0,Semi-Pro,Will Ferrell,Maura Tierney,Kent Alterman,,Scot Armstrong,
848,60000000,"['Animation', 'Adventure', 'Family', 'Comedy']",72197,rivalry.stop motion.pirate.aftercreditsstinger.duringcreditsstinger,en,2012-03-12,118338361,88.0,The Pirates! In an Adventure with Scientists!,Hugh Grant,Salma Hayek,Peter Lord,,Gideon Defoe,
849,55000000,"['Crime', 'Drama', 'Mystery']",3580,corruption.mother.nudity.minister.power.public.government.police.reunion.murder.conspiracy.los angeles.missing.mother love.criticism,en,2008-01-30,113020255,141.0,Changeling,Jeffrey Donovan,Angelina Jolie,Clint Eastwood,J. Michael Straczynski,,
850,50000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",12123,fbi.hydrogen bomb.secret lab.energy supply.conspiracy.aftercreditsstinger,en,1996-08-02,60209334,107.0,Chain Reaction,Keanu Reeves,Rachel Weisz,Andrew Davis,J. F. Lawton,Josh Friedman,Jerry Goldsmith
851,55000000,"['Drama', 'Mystery', 'Thriller']",9566,sport.luck.san francisco giants.child custody.baseball pitcher.baseball fan.psychotic fan.sports agent.driving range.steam room,en,1996-08-15,18626419,116.0,The Fan,Robert De Niro,Ellen Barkin,Tony Scott,Phoef Sutton,,Hans Zimmer
852,70000000,"['Thriller', 'Drama', 'Romance']",9833,dancing.obsession.auction.wheelchair.rose.product placement.musical.remake.tragic villain.black and white.rooftop.heroine.disfigured face.based on stage musical.theater.disfigurement mask.breaking mirror.opera singer.1910s,en,2004-12-08,154648887,143.0,The Phantom of the Opera,Gerard Butler,Emmy Rossum,Joel Schumacher,Joel Schumacher,,
853,55000000,"['Drama', 'History', 'Romance']",4517,england.assassination.spain.virgin.colony.governance.queen elizabeth i.religious war.tudors.execution.middle ages.catholicism.sea battle.palace intrigue,en,2007-09-09,74237563,114.0,Elizabeth: The Golden Age,Clive Owen,Cate Blanchett,Shekhar Kapur,William Nicholson,,A. R. Rahman
854,62000000,"['Action', 'Science Fiction']",8202,martial arts.dystopia.surrealism.based on cartoon.shootout.espionage.infertility.cyberpunk.extreme violence.sabotage.one against many.woman director.hand to hand combat.action heroine.human cloning.25th century,en,2005-11-30,52304001,93.0,Æon Flux,Marton Csokas,Charlize Theron,Karyn Kusama,Phil Hay,,Graeme Revell
855,56000000,"['Drama', 'History', 'War']",16072,war.battle.union soldier.confederate soldier.american civil war.secession,en,2003-02-21,12923936,214.0,Gods and Generals,Stephen Lang,Mia Dillon,Ronald F. Maxwell,Ronald F. Maxwell,,Randy Edelman
856,55000000,"['Action', 'Thriller', 'Crime']",34314,stewardess.airplane.shootout.air marshal.christmas.turbulence,en,1997-01-09,11466088,100.0,Turbulence,Ray Liotta,Lauren Holly,Robert Butler,,Jonathan Brett,Shirley Walker
857,55000000,['Comedy'],19724,,en,2009-06-19,0,107.0,Imagine That,Eddie Murphy,Yara Shahidi,Karey Kirkpatrick,,Ed Solomon,Mark Mancina
